horario,ear,status
17:37:39,0.181,Fadiga
17:37:39,0.18,Fadiga
17:37:39,0.193,Fadiga
17:37:39,0.186,Fadiga
17:37:39,0.165,Fadiga
17:37:39,0.188,Fadiga
17:37:39,0.135,Fadiga
17:37:39,0.199,Fadiga
17:37:39,0.216,Fadiga
17:37:39,0.24,Fadiga
17:37:39,0.237,Fadiga
17:37:39,0.242,Fadiga
17:37:39,0.225,Fadiga
17:37:39,0.241,Fadiga
17:37:39,0.242,Fadiga
17:37:39,0.257,Normal
17:37:39,0.26,Normal
17:37:39,0.259,Normal
17:37:40,0.24,Fadiga
17:37:40,0.249,Fadiga
17:37:40,0.158,Fadiga
17:37:40,0.16,Fadiga
17:37:40,0.216,Fadiga
17:37:40,0.231,Fadiga
17:37:40,0.25,Normal
17:37:40,0.306,Normal
17:37:40,0.242,Fadiga
17:37:40,0.229,Fadiga
17:37:40,0.24,Fadiga
17:37:40,0.266,Normal
17:37:40,0.261,Normal
17:37:40,0.251,Normal
17:37:40,0.238,Fadiga
17:37:40,0.254,Normal
17:37:40,0.242,Fadiga
17:37:40,0.222,Fadiga
17:37:40,0.221,Fadiga
17:37:40,0.221,Fadiga
17:37:40,0.219,Fadiga
17:37:40,0.219,Fadiga
17:37:40,0.211,Fadiga
17:37:40,0.223,Fadiga
17:37:40,0.214,Fadiga
17:37:40,0.217,Fadiga
17:37:40,0.226,Fadiga
17:37:40,0.226,Fadiga
17:37:40,0.21,Fadiga
17:37:41,0.22,Fadiga
17:37:41,0.23,Fadiga
17:37:41,0.226,Fadiga
17:37:41,0.218,Fadiga
17:37:41,0.225,Fadiga
17:37:41,0.227,Fadiga
17:37:41,0.237,Fadiga
17:37:41,0.234,Fadiga
17:37:41,0.234,Fadiga
17:37:41,0.224,Fadiga
17:37:41,0.227,Fadiga
17:37:41,0.223,Fadiga
17:37:41,0.217,Fadiga
17:37:41,0.214,Fadiga
17:37:41,0.203,Fadiga
17:37:41,0.23,Fadiga
17:37:41,0.225,Fadiga
17:37:41,0.224,Fadiga
17:37:41,0.229,Fadiga
17:37:41,0.237,Fadiga
17:37:41,0.249,Fadiga
17:37:41,0.247,Fadiga
17:37:41,0.247,Fadiga
17:37:41,0.25,Fadiga
17:37:41,0.25,Fadiga
17:37:41,0.243,Fadiga
17:37:41,0.234,Fadiga
17:37:41,0.244,Fadiga
17:37:41,0.24,Fadiga
17:37:41,0.23,Fadiga
17:37:42,0.23,Fadiga
17:37:42,0.221,Fadiga
17:37:42,0.229,Fadiga
17:37:42,0.233,Fadiga
17:37:42,0.213,Fadiga
17:37:42,0.231,Fadiga
17:37:42,0.221,Fadiga
17:37:42,0.223,Fadiga
17:37:42,0.222,Fadiga
17:37:42,0.229,Fadiga
17:37:42,0.216,Fadiga
17:37:42,0.216,Fadiga
17:37:42,0.229,Fadiga
17:37:42,0.209,Fadiga
17:37:42,0.22,Fadiga
17:37:42,0.214,Fadiga
17:37:42,0.226,Fadiga
17:37:42,0.234,Fadiga
17:37:42,0.211,Fadiga
17:37:43,0.218,Fadiga
17:37:43,0.218,Fadiga
17:37:43,0.215,Fadiga
17:37:43,0.208,Fadiga
17:37:43,0.212,Fadiga
17:37:43,0.198,Fadiga
17:37:43,0.215,Fadiga
17:37:43,0.19,Fadiga
17:37:44,0.211,Fadiga
17:37:44,0.187,Fadiga
17:37:44,0.184,Fadiga
17:37:44,0.188,Fadiga
17:37:44,0.044,Fadiga
17:37:44,0.04,Fadiga
17:37:44,0.118,Fadiga
17:37:44,0.096,Fadiga
17:37:45,0.121,Fadiga
17:37:45,0.093,Fadiga
17:37:45,0.115,Fadiga
17:37:45,0.104,Fadiga
17:37:45,0.176,Fadiga
17:37:45,0.196,Fadiga
17:37:45,0.194,Fadiga
17:37:45,0.165,Fadiga
17:37:46,0.144,Fadiga
17:37:46,0.111,Fadiga
17:37:46,0.116,Fadiga
17:37:46,0.108,Fadiga
17:37:46,0.116,Fadiga
17:37:46,0.106,Fadiga
17:37:46,0.159,Fadiga
17:37:47,0.174,Fadiga
17:37:47,0.202,Fadiga
17:37:47,0.211,Fadiga
17:37:47,0.204,Fadiga
17:37:47,0.21,Fadiga
17:37:47,0.212,Fadiga
17:37:47,0.139,Fadiga
17:37:48,0.093,Fadiga
17:37:48,0.144,Fadiga
17:37:48,0.144,Fadiga
17:37:48,0.135,Fadiga
17:37:48,0.164,Fadiga
17:37:48,0.138,Fadiga
17:37:48,0.17,Fadiga
17:37:49,0.135,Fadiga
17:37:49,0.171,Fadiga
17:37:49,0.134,Fadiga
17:37:49,0.17,Fadiga
17:37:49,0.146,Fadiga
17:37:49,0.149,Fadiga
17:37:50,0.154,Fadiga
17:37:50,0.174,Fadiga
17:37:50,0.159,Fadiga
17:37:50,0.152,Fadiga
17:37:50,0.157,Fadiga
17:37:50,0.148,Fadiga
17:37:50,0.176,Fadiga
17:37:51,0.176,Fadiga
17:37:51,0.187,Fadiga
17:37:51,0.219,Fadiga
17:37:51,0.215,Fadiga
17:37:51,0.228,Fadiga
17:37:51,0.214,Fadiga
17:37:51,0.253,Normal
17:37:51,0.254,Normal
17:37:51,0.234,Fadiga
17:37:51,0.239,Fadiga
17:37:51,0.217,Fadiga
17:37:51,0.217,Fadiga
17:37:52,0.213,Fadiga
17:37:52,0.161,Fadiga
17:37:52,0.209,Fadiga
17:37:52,0.169,Fadiga
17:37:52,0.213,Fadiga
17:37:52,0.215,Fadiga
17:37:52,0.203,Fadiga
17:37:52,0.233,Fadiga
17:37:52,0.183,Fadiga
17:37:52,0.197,Fadiga
17:37:52,0.204,Fadiga
17:37:52,0.207,Fadiga
17:37:52,0.193,Fadiga
17:37:52,0.211,Fadiga
17:37:52,0.196,Fadiga
17:37:52,0.177,Fadiga
17:37:52,0.201,Fadiga
17:37:52,0.185,Fadiga
17:37:52,0.188,Fadiga
17:37:52,0.206,Fadiga
17:37:52,0.194,Fadiga
17:37:52,0.203,Fadiga
17:37:52,0.213,Fadiga
17:37:52,0.208,Fadiga
17:37:52,0.221,Fadiga
17:37:53,0.179,Fadiga
17:37:53,0.194,Fadiga
17:37:53,0.19,Fadiga
17:37:53,0.172,Fadiga
17:37:53,0.187,Fadiga
17:37:53,0.166,Fadiga
17:37:53,0.187,Fadiga
17:37:53,0.195,Fadiga
17:37:53,0.177,Fadiga
17:37:53,0.174,Fadiga
17:37:53,0.161,Fadiga
17:37:53,0.166,Fadiga
17:37:53,0.175,Fadiga
17:37:53,0.182,Fadiga
17:37:53,0.168,Fadiga
17:37:53,0.17,Fadiga
17:37:53,0.192,Fadiga
17:37:53,0.187,Fadiga
17:37:53,0.169,Fadiga
17:37:53,0.182,Fadiga
17:37:53,0.193,Fadiga
17:37:53,0.191,Fadiga
17:37:53,0.17,Fadiga
17:37:53,0.187,Fadiga
17:37:53,0.206,Fadiga
17:37:53,0.185,Fadiga
17:37:53,0.185,Fadiga
17:37:54,0.177,Fadiga
17:37:54,0.182,Fadiga
17:37:54,0.183,Fadiga
17:37:54,0.169,Fadiga
17:37:54,0.174,Fadiga
17:37:54,0.16,Fadiga
17:37:54,0.165,Fadiga
17:37:54,0.167,Fadiga
17:37:55,0.194,Fadiga
17:37:55,0.166,Fadiga
17:37:55,0.158,Fadiga
17:37:55,0.164,Fadiga
17:37:55,0.17,Fadiga
17:37:55,0.17,Fadiga
17:37:55,0.181,Fadiga
17:37:55,0.179,Fadiga
17:37:56,0.171,Fadiga
17:37:56,0.169,Fadiga
17:37:56,0.174,Fadiga
17:37:56,0.148,Fadiga
17:37:56,0.159,Fadiga
17:37:56,0.167,Fadiga
17:37:56,0.167,Fadiga
17:37:57,0.158,Fadiga
17:37:57,0.185,Fadiga
17:37:57,0.164,Fadiga
17:37:57,0.167,Fadiga
17:37:57,0.178,Fadiga
17:37:57,0.171,Fadiga
17:37:57,0.151,Fadiga
17:37:58,0.153,Fadiga
17:37:58,0.15,Fadiga
17:37:58,0.162,Fadiga
17:37:58,0.166,Fadiga
17:37:58,0.174,Fadiga
17:37:58,0.163,Fadiga
17:37:58,0.163,Fadiga
17:37:59,0.168,Fadiga
17:37:59,0.172,Fadiga
17:37:59,0.184,Fadiga
17:37:59,0.157,Fadiga
17:37:59,0.173,Fadiga
17:37:59,0.117,Fadiga
17:37:59,0.172,Fadiga
17:38:00,0.175,Fadiga
17:38:00,0.135,Fadiga
17:38:00,0.132,Fadiga
17:38:00,0.152,Fadiga
17:38:00,0.168,Fadiga
17:38:00,0.175,Fadiga
17:38:00,0.208,Fadiga
17:38:01,0.193,Fadiga
17:38:01,0.177,Fadiga
17:38:01,0.195,Fadiga
17:38:01,0.182,Fadiga
17:38:01,0.167,Fadiga
17:38:01,0.175,Fadiga
17:38:01,0.158,Fadiga
17:38:02,0.171,Fadiga
17:38:02,0.164,Fadiga
17:38:02,0.145,Fadiga
17:38:02,0.132,Fadiga
17:38:02,0.144,Fadiga
17:38:02,0.159,Fadiga
17:38:02,0.173,Fadiga
17:38:03,0.187,Fadiga
17:38:03,0.168,Fadiga
17:38:03,0.182,Fadiga
17:38:03,0.183,Fadiga
17:38:03,0.179,Fadiga
17:38:03,0.148,Fadiga
17:38:03,0.146,Fadiga
17:38:04,0.174,Fadiga
17:38:04,0.223,Fadiga
17:38:04,0.23,Fadiga
17:38:04,0.187,Fadiga
17:38:04,0.21,Fadiga
17:38:04,0.177,Fadiga
17:38:04,0.202,Fadiga
17:38:05,0.172,Fadiga
17:38:05,0.19,Fadiga
17:38:05,0.163,Fadiga
17:38:05,0.173,Fadiga
17:38:05,0.167,Fadiga
17:38:05,0.181,Fadiga
17:38:05,0.176,Fadiga
17:38:06,0.187,Fadiga
17:38:06,0.188,Fadiga
17:38:06,0.151,Fadiga
17:38:06,0.16,Fadiga
17:38:06,0.18,Fadiga
17:38:06,0.166,Fadiga
17:38:06,0.171,Fadiga
17:38:06,0.154,Fadiga
17:38:07,0.159,Fadiga
17:38:07,0.148,Fadiga
17:38:07,0.168,Fadiga
17:38:07,0.166,Fadiga
17:38:07,0.147,Fadiga
17:38:07,0.15,Fadiga
17:38:07,0.067,Fadiga
17:38:08,0.093,Fadiga
17:38:08,0.086,Fadiga
17:38:08,0.156,Fadiga
17:38:08,0.12,Fadiga
17:38:08,0.119,Fadiga
17:38:08,0.204,Fadiga
17:38:08,0.189,Fadiga
17:38:09,0.213,Fadiga
17:38:09,0.217,Fadiga
17:38:09,0.187,Fadiga
17:38:09,0.19,Fadiga
17:38:09,0.203,Fadiga
17:38:09,0.255,Normal
17:38:09,0.269,Normal
17:38:09,0.302,Normal
17:38:09,0.282,Normal
17:38:09,0.305,Normal
17:38:09,0.295,Normal
17:38:09,0.262,Normal
17:38:09,0.275,Normal
17:38:09,0.285,Normal
17:38:09,0.26,Normal
17:38:09,0.286,Normal
17:38:09,0.291,Normal
17:38:09,0.306,Normal
17:38:09,0.292,Normal
17:38:10,0.272,Normal
17:38:10,0.291,Normal
17:38:10,0.289,Normal
17:38:10,0.298,Normal
17:38:10,0.305,Normal
17:38:10,0.293,Normal
17:38:10,0.301,Normal
17:38:10,0.311,Normal
17:38:10,0.303,Normal
17:38:10,0.299,Normal
17:38:10,0.308,Normal
17:38:10,0.297,Normal
17:38:10,0.3,Normal
17:38:10,0.315,Normal
17:38:10,0.303,Normal
17:38:10,0.31,Normal
17:38:10,0.313,Normal
17:38:10,0.306,Normal
17:38:10,0.296,Normal
17:38:10,0.299,Normal
17:38:10,0.289,Normal
17:38:10,0.289,Normal
17:38:10,0.301,Normal
17:38:10,0.245,Fadiga
17:38:10,0.237,Fadiga
17:38:10,0.238,Fadiga
17:38:10,0.254,Normal
17:38:10,0.266,Normal
17:38:10,0.258,Normal
17:38:10,0.271,Normal
17:38:11,0.252,Normal
17:38:11,0.259,Normal
17:38:11,0.244,Fadiga
17:38:11,0.208,Fadiga
17:38:11,0.221,Fadiga
17:38:11,0.219,Fadiga
17:38:11,0.201,Fadiga
17:38:11,0.202,Fadiga
17:38:11,0.197,Fadiga
17:38:11,0.203,Fadiga
17:38:11,0.205,Fadiga
17:38:11,0.181,Fadiga
17:38:11,0.199,Fadiga
17:38:11,0.215,Fadiga
17:38:11,0.206,Fadiga
17:38:11,0.221,Fadiga
17:38:11,0.222,Fadiga
17:38:11,0.209,Fadiga
17:38:11,0.218,Fadiga
17:38:11,0.205,Fadiga
17:38:11,0.215,Fadiga
17:38:11,0.217,Fadiga
17:38:11,0.203,Fadiga
17:38:11,0.215,Fadiga
17:38:11,0.203,Fadiga
17:38:11,0.199,Fadiga
17:38:11,0.201,Fadiga
17:38:11,0.223,Fadiga
17:38:11,0.213,Fadiga
17:38:11,0.206,Fadiga
17:38:12,0.214,Fadiga
17:38:12,0.211,Fadiga
17:38:12,0.214,Fadiga
17:38:12,0.22,Fadiga
17:38:12,0.201,Fadiga
17:38:12,0.227,Fadiga
